"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","PTS VS.","SACK","SAFE","INT","FUMR","DEF TD","BLK KICK","RET TD"
"1",1,"Houston Texans",HOU,"9.1","0.0","2.6","0.0","1.1","0.6","0.2","0.0","0.0"
"2",1,"Denver Broncos",DEN,"7.9","0.0","3.8","0.0","0.6","0.2","0.1","0.0","0.0"
"3",1,"Los Angeles Rams",LAR,"7.6","0.0","2.6","0.0","0.9","0.5","0.1","0.0","0.0"
"4",1,"Seattle Seahawks",SEA,"9.9","0.0","2.6","0.0","1.0","0.4","0.2","0.0","0.0"
"5",2,"Philadelphia Eagles",PHI,"7.5","0.0","2.3","0.0","0.7","0.5","0.1","0.0","0.0"
"6",2,"New England Patriots",NE,"7.1","0.0","1.9","0.1","0.6","0.5","0.1","0.0","0.0"
"7",2,"Pittsburgh Steelers",PIT,"7.2","0.0","2.7","0.1","0.8","0.7","0.2","0.0","0.0"
"8",2,"Minnesota Vikings",MIN,"7.6","0.0","2.7","0.0","0.4","0.7","0.1","0.0","0.0"
"9",3,"Jacksonville Jaguars",JAC,"8.0","0.0","1.8","0.1","1.2","0.5","0.1","0.0","0.0"
"10",3,"Los Angeles Chargers",LAC,"6.2","0.0","2.5","0.1","1.1","0.2","0.0","0.0","0.0"
"11",3,"Baltimore Ravens",BAL,"5.4","0.0","1.7","0.0","0.6","0.5","0.1","0.0","0.0"
"12",3,"Kansas City Chiefs",KC,"5.1","0.0","1.9","0.0","0.6","0.2","0.0","0.0","0.0"
"13",3,"Green Bay Packers",GB,"4.4","0.0","2.0","0.0","0.4","0.4","0.0","0.0","0.0"
"14",4,"Detroit Lions",DET,"5.4","0.0","2.7","0.1","0.7","0.3","0.0","0.0","0.0"
"15",4,"Buffalo Bills",BUF,"6.1","0.0","2.0","0.0","0.7","0.4","0.1","0.0","0.0"
"16",4,"Cleveland Browns",CLE,"7.4","0.0","2.9","0.0","0.6","0.4","0.2","0.0","0.0"
"17",4,"New Orleans Saints",NO,"6.6","0.0","2.5","0.0","0.6","0.6","0.2","0.0","0.0"
"18",4,"Indianapolis Colts",IND,"5.5","0.0","2.2","0.0","0.8","0.4","0.1","0.0","0.0"
"19",4,"San Francisco 49ers",SF,"4.3","0.0","1.1","0.0","0.3","0.6","0.1","0.0","0.0"
"20",4,"Atlanta Falcons",ATL,"6.8","0.0","3.2","0.0","0.9","0.4","0.1","0.0","0.0"
"21",4,"Chicago Bears",CHI,"6.4","0.0","1.9","0.0","1.3","0.6","0.1","0.0","0.0"
"22",4,"Dallas Cowboys",DAL,"3.3","0.0","1.9","0.1","0.3","0.3","0.1","0.0","0.0"
"23",5,"New York Giants",NYG,"4.3","0.0","2.2","0.0","0.5","0.3","0.1","0.0","0.0"
"24",5,"Tampa Bay Buccaneers",TB,"5.5","0.0","2.1","0.1","0.7","0.6","0.1","0.0","0.0"
"25",5,"Carolina Panthers",CAR,"5.7","0.0","1.7","0.0","0.8","0.3","0.1","0.0","0.0"
"26",5,"Cincinnati Bengals",CIN,"4.4","0.0","1.9","0.0","0.7","0.4","0.1","0.0","0.0"
"",5
"27",5,"Tennessee Titans",TEN,"4.8","0.0","2.3","0.1","0.3","0.4","0.1","0.0","0.0"
"28",5,"Washington Commanders",WAS,"4.2","0.0","2.3","0.1","0.4","0.1","0.0","0.0","0.0"
"29",5,"Miami Dolphins",MIA,"5.3","0.0","2.2","0.0","0.5","0.6","0.0","0.0","0.0"
"30",5,"Las Vegas Raiders",LV,"4.2","0.0","2.1","0.1","0.4","0.4","0.0","0.0","0.0"
"31",5,"New York Jets",NYJ,"2.6","0.0","1.4","0.1","0.0","0.2","0.0","0.0","0.0"
"32",5,"Arizona Cardinals",ARI,"4.3","0.0","1.7","0.1","0.6","0.5","0.1","0.0","0.0"
