"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"905",16,"Nick Bawden",FA,"RB246","-","-","-","-","-"
"906",16,"Wendell Smallwood",FA,"RB247","-","-","-","-","-"
"907",16,"Kejon Owens",FA,"RB248","-","-","-","-","-"
"908",16,"Jonathan Brady",FA,"WR384","-","-","-","-","-"
"909",16,"Chris Evans",FA,"RB249","-","-","-","-","-"
"910",16,"Ross Dwelley",FA,"TE210","-","-","-","-","-"
"911",16,"Ryan Griffin",FA,"TE211","-","-","-","-","-"
"912",16,"Jimmy Kibble",NE,"WR385","11","-","-","2 out of 5 stars","-"
"913",16,"Tucker Fisk",FA,"TE212","-","-","-","-","-"
"914",16,"Geoff Swaim",FA,"TE213","-","-","-","-","-"
"915",16,"Jesper Horsted",FA,"TE214","-","-","-","-","-"
"916",16,"Michael Jacobson",FA,"TE215","-","-","-","-","-"
"917",16,"Brenden Rice",FA,"WR386","-","-","-","-","-"
"918",16,"Colton Dowell",FA,"WR387","-","-","-","-","-"
"919",16,"Tyler Davis",FA,"WR388","-","-","-","-","-"
"920",16,"Nelson Agholor",FA,"WR389","-","-","-","-","-"
"921",16,"Brycen Hopkins",FA,"TE216","-","-","-","-","-"
"922",16,"Curtis Hodges",FA,"TE217","-","-","-","-","-"
"923",16,"DeAndre Carter",FA,"WR390","-","-","-","-","-"
"924",16,"Gerald Everett",FA,"TE218","-","-","-","-","-"
"925",16,"Marquez Callaway",FA,"WR391","-","-","-","-","-"
"926",16,"Mitchell Wilcox",FA,"TE219","-","-","-","-","-"
"927",16,"Peyton Hendershot",FA,"TE220","-","-","-","-","-"
"928",16,"Dee Eskridge",FA,"WR392","-","-","-","-","-"
"929",16,"Zach Gentry",FA,"TE221","-","-","-","-","-"
"930",16,"Allen Lazard",FA,"WR393","-","-","-","-","-"
"931",16,"Anthony Schwartz",FA,"WR394","-","-","-","-","-"
"932",16,"Brandon Powell",FA,"WR395","-","-","-","-","-"
"933",16,"Byron Pringle",FA,"WR396","-","-","-","-","-"
"934",16,"Cody Thompson",FA,"WR397","-","-","-","-","-"
"935",16,"Daurice Fountain",FA,"WR398","-","-","-","-","-"
"936",16,"Equanimeous St. Brown",FA,"WR399","-","-","-","-","-"
"937",16,"Isaiah McKenzie",FA,"WR400","-","-","-","-","-"
"938",16,"Jalen Guyton",FA,"WR401","-","-","-","-","-"
"939",16,"James Proche II",FA,"WR402","-","-","-","-","-"
"940",16,"Javon Baker",FA,"WR403","-","-","-","-","-"
"941",16,"Justin Shorter",LV,"WR404","13","-","-","2 out of 5 stars","-"
"942",16,"Laviska Shenault Jr.",FA,"WR405","-","-","-","-","-"
"943",16,"Rakim Jarrett",FA,"WR406","-","-","-","-","-"
"944",16,"Trishton Jackson",FA,"WR407","-","-","-","-","-"
"945",16,"Zach Pascal",FA,"WR408","-","-","-","-","-"
"946",16,"Ross Travis",FA,"TE222","-","-","-","-","-"
