Player,,Rank,TA Tier,Position,,
Harold Fannin,76.13,TE 7,2,TE,,
Tucker Kraft,75.24,TE 8,2,TE,,
Isaiah Likely,71.01,TE 9,2,TE,,
Travis Kelce,69.82,TE 10,2,TE,,
Kyle Pitts,63.35,TE 11,2,TE,,
Dalton Kincaid,59.57,TE 12,3,TE,,
Jake Ferguson,57.65,TE 13,3,TE,,
Mark Andrews,50.90,TE 14,3,TE,,
Hunter Henry,50.28,TE 15,3,TE,,
T.J. Hockenson,44.38,TE 16,3,TE,,
Chig Okonkwo,44.08,TE 17,3,TE,,
Dalton Schultz,42.57,TE 18,3,TE,,
Dallas Goedert,36.24,TE 19,3,TE,,
Greg Dulcich,32.78,TE 20,4,TE,,
Pat Freiermuth,31.18,TE 21,4,TE,,
Brenton Strange,25.52,TE 22,4,TE,,
Juwan Johnson,22.94,TE 23,4,TE,,
Terrance Ferguson,21.61,TE 24,4,TE,,
Oronde Gadsden,19.89,TE 25,4,TE,,
