"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"77",5,"DJ Moore",BUF,"145.2","2","1","50","682","6","15","79","1"
"78",5,"David Montgomery",HOU,"154.9","3","1","24","192","0","158","716","8"
"79",5,"Mike Evans",SF,"69.8","0","0","30","368","3","0","0","0"
"80",5,"Christian Watson",GB,"114.9","0","0","35","611","6","1","3","0"
"81",5,"Rome Odunze",CHI,"124.1","0","0","44","661","6","0","0","0"
"82",5,"Bhayshul Tuten",JAC,"83.6","0","0","10","79","2","83","307","5"
"83",6,"TreVeyon Henderson",NE,"188.7","0","0","35","221","1","180","911","9"
"84",6,"Bryce Young",CAR,"229","3011","23","0","0","0","54","216","2"
"85",6,"Jadarian Price",SEA,"0","0","0","0","0","0","0","0","0"
"86",6,"Parker Washington",JAC,"155.7","0","0","58","847","5","7","0","0"
"87",6,"Tucker Kraft",GB,"101.2","0","0","32","489","6","1","3","0"
"88",6,"Carnell Tate",TEN,"0","0","0","0","0","0","0","0","0"
"89",6,"Marvin Harrison Jr.",ARI,"107.3","0","0","41","608","4","0","0","0"
"90",6,"Jacoby Brissett",ARI,"235.4","3366","23","0","0","0","38","168","1"
"",6
"91",6,"Jaylen Warren",PIT,"197.1","0","0","40","333","2","211","958","6"
"92",6,"Rhamondre Stevenson",NE,"162.8","0","0","32","345","2","130","603","7"
"93",6,"Brian Thomas Jr.",JAC,"114.8","0","0","48","707","2","3","21","1"
"94",6,"Tony Pollard",TEN,"169.3","0","0","33","206","0","242","1082","5"
"95",6,"DK Metcalf",PIT,"157.7","0","0","59","850","6","2","12","1"
"96",6,"Harold Fannin Jr.",CLE,"150.4","0","0","72","731","6","7","13","1"
"97",6,"Sam LaPorta",DET,"86.9","0","0","40","489","3","0","0","0"
"98",6,"Rico Dowdle",PIT,"196.8","0","0","39","297","1","236","1076","6"
"99",6,"Chris Godwin Jr.",TB,"66.5","0","0","33","360","2","0","0","0"
"100",6,"Courtland Sutton",DEN,"182.7","0","0","74","1017","7","0","0","0"
"101",6,"Kyle Pitts Sr.",ATL,"166.8","0","0","88","928","5","0","0","0"
"102",6,"Jonathon Brooks",CAR,"0","0","0","0","0","0","0","0","0"
"103",6,"J.K. Dobbins",DEN,"110.4","0","0","11","37","0","153","772","4"
"104",6,"Michael Pittman Jr.",PIT,"162.4","0","0","80","784","7","0","0","0"
"105",6,"Michael Wilson",ARI,"181.6","0","0","78","1006","7","0","0","0"
"106",6,"Quentin Johnston",LAC,"145.7","0","0","51","735","8","2","7","0"
"107",6,"Alec Pierce",IND,"159.8","0","0","47","1003","6","0","0","0"
"108",6,"Blake Corum",LAR,"118.2","0","0","8","36","0","145","746","6"
"109",6,"Geno Smith",NYJ,"190.9","3025","19","0","0","0","41","109","0"
"110",6,"Chuba Hubbard",CAR,"110.4","0","0","30","223","3","134","511","1"
"111",6,"Josh Downs",IND,"107.4","0","0","58","566","4","2","-2","0"
"112",6,"George Kittle",SF,"133","0","0","57","628","7","1","-3","0"
"113",6,"Wan'Dale Robinson",TEN,"171.9","0","0","92","1014","4","3","5","0"
"114",6,"RJ Harvey",DEN,"183.1","0","0","47","356","5","146","540","7"
"115",6,"Jacory Croskey-Merritt",WAS,"135.8","0","0","9","68","0","175","805","8"
"116",6,"Stefon Diggs",WAS,"167.8","0","0","85","1013","4","0","0","0"
"117",7,"Jordan Addison",MIN,"114.1","0","0","42","610","3","2","81","1"
"118",7,"Travis Kelce",KC,"155.2","0","0","76","851","5","1","1","0"
"119",7,"Jordan Mason",MIN,"121.9","0","0","14","51","0","159","758","6"
"120",7,"Kyle Monangai",CHI,"137.7","0","0","18","164","0","169","783","5"
"121",7,"Kenny Gainwell",TB,"184.8","0","0","73","486","3","114","537","5"
"122",7,"Jayden Reed",GB,"39","0","0","19","207","1","3","28","0"
"123",7,"Rachaad White",WAS,"123","0","0","40","218","0","132","572","4"
"124",7,"Jakobi Meyers",JAC,"138.3","0","0","75","835","3","5","13","0"
"125",7,"Makai Lemon",PHI,"0","0","0","0","0","0","0","0","0"
"126",7,"Dalton Kincaid",BUF,"106.6","0","0","39","571","5","0","0","0"
"127",7,"Aaron Jones Sr.",MIN,"104.7","0","0","28","199","1","132","548","2"
"128",7,"Dallas Goedert",PHI,"155.1","0","0","60","591","11","0","0","0"
"129",7,"Aaron Rodgers",PIT,"233.6","3322","24","1","-9","0","21","61","1"
"130",7,"Isaiah Likely",NYG,"48.2","0","0","27","307","1","0","0","0"
"131",7,"Mike Washington Jr.",LV,"0","0","0","0","0","0","0","0","0"
"132",7,"KC Concepcion",CLE,"0","0","0","0","0","0","0","0","0"
"133",7,"Mark Andrews",BAL,"107","0","0","48","422","5","10","48","1"
"134",7,"Xavier Worthy",KC,"88.9","0","0","42","532","1","11","87","0"
"135",7,"Jordyn Tyson",NO,"0","0","0","0","0","0","0","0","0"
"136",7,"Chris Rodriguez Jr.",JAC,"90.5","0","0","3","30","0","112","500","6"
"137",7,"Jalen Coker",CAR,"73.9","0","0","33","394","3","0","0","0"
"138",7,"Matthew Golden",GB,"55.5","0","0","29","361","0","10","49","0"
"139",7,"Khalil Shakir",BUF,"130.4","0","0","72","719","4","1","5","0"
"140",7,"Jake Ferguson",DAL,"147.1","0","0","82","600","8","1","1","0"
"141",7,"Tyler Allgeier",ARI,"116","0","0","14","96","0","143","514","8"
"142",7,"Woody Marks",HOU,"139.1","0","0","24","208","3","196","703","2"
"143",7,"Romeo Doubs",NE,"137.9","0","0","55","724","6","0","0","0"
"144",7,"Tyjae Spears",TEN,"89.2","0","0","45","264","0","72","283","2"
"145",7,"Deebo Samuel Sr.",SF,"152.2","0","0","72","727","5","17","75","1"
"146",7,"Juwan Johnson",NO,"141.4","0","0","77","889","3","0","0","0"
"147",7,"Tank Bigsby",PHI,"52.3","0","0","3","32","0","63","356","2"
"148",7,"Tyrone Tracy Jr.",NYG,"142.8","0","0","36","288","2","176","740","2"
"149",7,"Keaton Mitchell",LAC,"50.9","0","0","9","63","0","59","341","1"
"150",7,"De'Zhaun Stribling",SF,"0","0","0","0","0","0","0","0","0"
"151",7,"Zach Charbonnet",SEA,"171.4","0","0","20","144","0","184","730","12"
"152",7,"Hunter Henry",NE,"148.8","0","0","60","768","7","0","0","0"
"153",7,"Jonah Coleman",DEN,"0","0","0","0","0","0","0","0","0"
"154",7,"Chig Okonkwo",WAS,"96","0","0","56","560","2","0","0","0"
"155",7,"Brenton Strange",JAC,"95","0","0","46","540","3","0","0","0"
"156",8,"Alvin Kamara",NO,"84.2","0","0","33","186","0","131","471","1"
"157",8,"Dylan Sampson",CLE,"71.1","0","0","33","271","2","65","175","0"
"158",8,"Denzel Boston",CLE,"0","0","0","0","0","0","0","0","0"
"159",8,"Rashid Shaheed",SEA,"127.1","0","0","59","687","2","9","69","0"
"160",8,"Adonai Mitchell",NYJ,"71.4","0","0","33","453","2","1","-4","0"
"161",8,"Dalton Schultz",HOU,"136.7","0","0","82","777","3","0","0","0"
"162",8,"Isiah Pacheco",DET,"77.8","0","0","19","101","1","118","462","1"
"163",8,"Tre Tucker",LV,"133.2","0","0","57","696","5","11","51","0"
"164",8,"Brian Robinson Jr.",ATL,"58.5","0","0","8","25","0","92","400","2"
"165",8,"Jerry Jeudy",CLE,"95.7","0","0","50","602","2","1","5","0"
"166",8,"Jauan Jennings",MIN,"145.8","0","0","55","643","9","0","0","0"
"167",8,"Braelon Allen",NYJ,"14.3","0","0","2","17","0","18","76","1"
"168",8,"Jalen McMillan",TB,"23.9","0","0","12","178","0","1","1","0"
"169",8,"Fernando Mendoza",LV,"0","0","0","0","0","0","0","0","0"
"170",8,"Tua Tagovailoa",ATL,"175.7","2660","20","0","0","0","20","43","0"
"171",8,"T.J. Hockenson",MIN,"87.3","0","0","51","438","3","1","0","0"
"172",8,"MarShawn Lloyd",GB,"0","0","0","0","0","0","0","0","0"
"173",8,"AJ Barner",SEA,"121.3","0","0","52","519","6","10","14","1"
"174",8,"Oronde Gadsden II",LAC,"106.9","0","0","49","664","3","0","0","0"
"175",8,"Jalen Nailor",LV,"86.2","0","0","29","444","4","2","13","0"
"176",8,"Dontayvion Wicks",PHI,"60.8","0","0","30","332","2","1","6","0"
"177",8,"Terrance Ferguson",LAR,"46.6","0","0","11","231","3","1","0","0"
"178",8,"Tre' Harris",LAC,"54.4","0","0","30","324","1","2","10","0"
"179",8,"Ray Davis",BUF,"59.1","0","0","10","86","2","58","275","0"
"180",8,"Emmett Johnson",KC,"0","0","0","0","0","0","0","0","0"
"181",8,"Omar Cooper Jr.",NYJ,"0","0","0","0","0","0","0","0","0"
"182",8,"Kenyon Sadiq",NYJ,"0","0","0","0","0","0","0","0","0"
"183",8,"Pat Bryant",DEN,"59.3","0","0","31","378","1","0","0","0"
"184",8,"Ryan Flournoy",DAL,"94","0","0","40","475","4","4","25","0"
"185",8,"Malik Washington",MIA,"93.7","0","0","46","317","3","17","110","1"
"186",8,"Sean Tucker",TB,"87.4","0","0","8","34","1","86","320","7"
"187",8,"Keenan Allen",IND,"142.2","0","0","81","777","4","0","0","0"
"188",8,"Kayshon Boutte",NE,"107.6","0","0","33","551","6","0","0","0"
"189",8,"Tank Dell",HOU,"0","0","0","0","0","0","0","0","0"
"190",8,"Gunnar Helm",TEN,"69.7","0","0","44","357","2","0","0","0"
"191",8,"Nicholas Singleton",TEN,"0","0","0","0","0","0","0","0","0"
"192",8,"Calvin Ridley",TEN,"38.8","0","0","17","303","0","0","0","0"
"193",8,"Cade Otton",TB,"92.7","0","0","59","572","1","0","0","0"
"194",8,"Jaylin Noel",HOU,"55.4","0","0","26","292","2","6","12","0"
"195",8,"Kimani Vidal",LAC,"109.9","0","0","16","136","1","155","643","3"
"196",8,"Pat Freiermuth",PIT,"93.1","0","0","41","486","4","0","0","0"
"197",8,"Travis Hunter",JAC,"49.8","0","0","28","298","1","1","0","0"
"198",8,"Isaac TeSlaa",DET,"67.9","0","0","16","239","6","0","0","0"
"199",8,"Kaytron Allen",WAS,"0","0","0","0","0","0","0","0","0"
"200",9,"Rashod Bateman",BAL,"45.9","0","0","19","224","2","0","0","0"
"201",9,"Jaydon Blue",DAL,"19.9","0","0","1","5","0","38","129","1"
"202",9,"James Conner",ARI,"29.3","0","0","8","38","1","32","95","1"
"203",9,"Darnell Mooney",NYG,"66.3","0","0","32","443","1","0","0","0"
"204",9,"Emanuel Wilson",SEA,"87","0","0","15","99","0","125","496","3"
"205",9,"Michael Penix Jr.",ATL,"123.3","1982","9","0","0","0","21","70","1"
"206",9,"David Njoku",LAC,"69.8","0","0","33","293","4","0","0","0"
"207",9,"Cooper Kupp",SEA,"93.8","0","0","47","593","2","0","0","0"
"208",9,"Troy Franklin",DEN,"144.6","0","0","65","709","6","5","12","0"
"209",9,"Jaylen Wright",MIA,"45.7","0","0","5","44","0","70","288","2"
"210",9,"Evan Engram",DEN,"77.8","0","0","50","461","1","1","7","0"
"211",9,"Colby Parkinson",LAR,"108.3","0","0","43","408","8","0","0","0"
"212",9,"Kirk Cousins",LV,"108.5","1721","10","0","0","0","14","7","1"
"213",9,"George Holani",SEA,"19.8","0","0","2","15","0","22","73","1"
"214",9,"Germie Bernard",PIT,"0","0","0","0","0","0","0","0","0"
"215",9,"Ollie Gordon II",MIA,"50.6","0","0","7","32","1","70","199","3"
