"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"82",8,"Andrei Iosivas",CIN,"43.1","25","15","116","4","0","0","0"
"83",8,"Jalin Hyatt",NYG,"48.8","40","23","373","0","0","0","0"
"84",8,"Malachi Corley",NYJ,"0","0","0","0","0","0","0","0"
"85",8,"Elijah Moore",CLE,"102.6","104","59","640","2","9","11","0"
"86",8,"Kendrick Bourne",NE,"81.5","55","37","406","4","1","4","0"
"87",8,"Troy Franklin",DEN,"0","0","0","0","0","0","0","0"
"88",8,"DJ Chark Jr.",LAC,"98","66","35","525","5","0","0","0"
"89",8,"Josh Reynolds",DEN,"108.8","64","40","608","5","0","0","0"
"90",8,"Javon Baker",NE,"0","0","0","0","0","0","0","0"
"91",8,"Greg Dortch",ARI,"52.5","41","24","280","2","1","5","0"
"92",8,"Luke McCaffrey",WAS,"0","0","0","0","0","0","0","0"
"93",8,"Odell Beckham Jr.",MIA,"90","64","35","565","3","0","0","0"
"94",8,"A.T. Perry",NO,"54.6","18","12","246","4","0","0","0"
"95",8,"Treylon Burks",TEN,"31.9","30","16","221","0","5","18","0"
"96",8,"Jonathan Mingo",CAR,"63.3","85","43","418","0","0","0","0"
"97",8,"Jalen Tolbert",DAL,"47.8","36","22","268","2","0","0","0"
"98",8,"Alec Pierce",IND,"79.4","65","32","514","2","0","0","0"
"99",8,"K.J. Osborn",NE,"96","75","48","540","3","0","0","0"
"100",8,"Zay Jones",ARI,"61.1","64","34","321","2","0","0","0"
"101",8,"Cedric Tillman",CLE,"33.7","44","21","224","0","1","8","0"
"102",8,"Trey Palmer",TB,"76.2","68","39","385","3","3","22","0"
"103",8,"Devontez Walker",BAL,"0","0","0","0","0","0","0","0"
"104",9,"Noah Brown",WAS,"85.1","55","33","567","2","1","-1","0"
"105",9,"Brenden Rice",LAC,"0","0","0","0","0","0","0","0"
"106",9,"Jacob Cowing",SF,"0","0","0","0","0","0","0","0"
"107",9,"Robert Woods",HOU,"69.3","75","40","426","1","1","7","0"
"108",9,"Tyler Scott",CHI,"27.4","32","17","168","0","7","41","0"
"109",9,"Tutu Atwell",LAR,"92.9","67","39","483","3","5","31","0"
"110",9,"Kalif Raymond",DET,"79.9","44","35","489","1","7","75","0"
"111",9,"Malik Washington",MIA,"0","0","0","0","0","0","0","0"
"112",9,"Dyami Brown",WAS,"29","23","12","168","1","1","0","0"
"113",9,"Tre Tucker",LV,"62.3","34","19","331","2","10","77","0"
"114",9,"Jauan Jennings",SF,"42","33","19","265","1","0","0","0"
"115",9,"Van Jefferson",PIT,"31.3","43","20","209","0","1","4","0"
"116",9,"Jordan Whittington",LAR,"0","0","0","0","0","0","0","0"
