"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"84",8,"Dallin Holker",NO,"0","0","0","0","0","0","0","0"
"85",8,"MyCole Pruitt",PIT,"21.5","12","9","110","1","0","0","0"
"86",8,"Drew Ogletree",IND,"31.2","21","9","147","2","0","0","0"
"87",8,"Robert Tonyan",MIN,"16.7","17","11","112","0","0","0","0"
"88",8,"Payne Durham",TB,"8.3","7","5","58","0","0","0","0"
"89",8,"Charlie Kolar",BAL,"18.2","9","7","87","1","0","0","0"
"90",8,"Albert Okwuegbunam Jr.",PHI,"0","1","0","0","0","0","0","0"
"91",8,"Tanner McLachlan",CIN,"0","0","0","0","0","0","0","0"
"92",8,"Ko Kieft",TB,"6.7","5","1","2","1","0","0","0"
"93",8,"Irv Smith Jr.",FA,"24.5","26","18","115","1","0","0","0"
"94",8,"Julian Hill",MIA,"5.8","9","6","48","0","0","0","0"
"95",9,"Ross Dwelley",ATL,"1.7","2","1","12","0","0","0","0"
"96",9,"Grant Calcaterra",PHI,"5.9","4","4","39","0","0","0","0"
"97",9,"Nick Vannett",TEN,"0.8","1","1","3","0","0","0","0"
"98",9,"Hunter Long",LAR,"0","0","0","0","0","0","0","0"
"99",9,"Chris Manhertz",NYG,"2.6","4","2","16","0","0","0","0"
"100",9,"Quintin Morris",BUF,"9.6","3","2","26","1","0","0","0"
"101",9,"Devin Culp",TB,"0","0","0","0","0","0","0","0"
"102",9,"Josiah Deguara",JAC,"10.5","8","8","65","0","0","0","0"
"103",9,"Ben Sims",GB,"10.1","6","4","21","1","0","0","0"
"104",9,"Jack Stoll",PHI,"6.3","8","5","38","0","0","0","0"
"105",9,"Kenny Yeboah",NYJ,"3.8","4","2","28","0","0","0","0"
"106",9,"Cameron Latu",CLE,"0","0","0","0","0","0","0","0"
"107",9,"James Mitchell",DET,"3.8","2","2","28","0","0","0","0"
"108",9,"Marcedes Lewis",CHI,"10.9","5","4","29","1","0","0","0"
"109",9,"Brayden Willis",SF,"0","0","0","0","0","0","0","0"
"110",9,"Jake Tonges",SF,"0","0","0","0","0","0","0","0"
"111",9,"Zack Kuntz",NYJ,"0","0","0","0","0","0","0","0"
"112",9,"Nate Adkins",DEN,"4.2","5","4","22","0","0","0","0"
"113",9,"Brady Russell",SEA,"0","0","0","0","0","0","0","0"
"114",9,"Brevyn Spann-Ford",DAL,"0","0","0","0","0","0","0","0"
"115",10,"Dylan Parham",FA,"0","0","0","0","0","0","0","0"
"116",10,"Teagan Quitoriano",HOU,"4.3","3","2","33","0","0","0","0"
"117",10,"Stephen Sullivan",FA,"18.5","24","12","125","0","0","0","0"
"118",10,"Tyler Mabry",SEA,"0","0","0","0","0","0","0","0"
"119",10,"Tucker Fisk",LAC,"1.4","1","1","9","0","0","0","0"
"120",10,"Sean McKeon",IND,"0","2","0","0","0","0","0","0"
"121",10,"Parker Hesse",DET,"0","0","0","0","0","0","0","0"
"122",10,"Rodney Williams",PIT,"0","2","0","0","0","0","0","0"
"123",10,"Nick Guggemos",FA,"0","0","0","0","0","0","0","0"
"124",10,"Trevon Wesco",FA,"2.6","3","1","21","0","0","0","0"
"125",10,"Daniel Helm",FA,"0","0","0","0","0","0","0","0"
"126",10,"Eric Saubert",SF,"2.7","3","3","12","0","0","0","0"
"127",10,"Tyler Kroft",FA,"0","0","0","0","0","0","0","0"
"128",10,"Nick Muse",MIN,"2.7","1","1","22","0","0","0","0"
"129",10,"Tommy Hudson",NO,"0","0","0","0","0","0","0","0"
"130",10,"Jesper Horsted",FA,"0.9","1","1","4","0","0","0","0"
"131",10,"Michael Jacobson",NO,"0","0","0","0","0","0","0","0"
"132",10,"Geoff Swaim",FA,"14.4","11","10","94","0","0","0","0"
"133",10,"Colson Yankoff",WAS,"0","0","0","0","0","0","0","0"
"134",10,"Brycen Hopkins",FA,"10.3","7","5","78","0","0","0","0"
"135",10,"Stephen Carlson",CHI,"0","0","0","0","0","0","0","0"
"136",10,"Jody Fortson Jr.",FA,"0","0","0","0","0","0","0","0"
"137",10,"Thomas Odukoya",TEN,"0","0","0","0","0","0","0","0"
"138",10,"Zach Davidson",BUF,"0","0","0","0","0","0","0","0"
"139",10,"Eric Tomlinson",LAC,"0","0","0","0","0","0","0","0"
"140",10,"Jack Westover",FA,"0","0","0","0","0","0","0","0"
"141",10,"Anthony Firkser",NYJ,"0","0","0","0","0","0","0","0"
"142",10,"Nick Boyle",FA,"0","0","0","0","0","0","0","0"
"143",10,"Cole Fotheringham",HOU,"1.1","1","1","6","0","0","0","0"
"144",10,"Tanner Conner",MIA,"0","0","0","0","0","0","0","0"
"145",10,"Mitchell Wilcox",NE,"10.1","12","9","56","0","0","0","0"
"146",10,"Blake Whiteheart",CLE,"0","0","0","0","0","0","0","0"
"147",10,"Travis Vokolek",ARI,"0","0","0","0","0","0","0","0"
"148",10,"Shane Zylstra",DET,"0","0","0","0","0","0","0","0"
"149",10,"Jimmy Graham",FA,"30.9","7","6","39","4","0","0","0"
"150",10,"E.J. Jenkins",PHI,"0","0","0","0","0","0","0","0"
"151",10,"Bryson Nesbit",FA,"0","0","0","0","0","0","0","0"
"152",10,"Noah Togiai",FA,"0","0","0","0","0","0","0","0"
"153",10,"Andrew Beck",GB,"33.3","13","11","55","2","5","3","1"
"154",10,"Moral Stephens",FA,"0","0","0","0","0","0","0","0"
"155",11,"Tyler Davis",GB,"0","0","0","0","0","0","0","0"
"156",11,"Curtis Hodges",FA,"0","0","0","0","0","0","0","0"
"157",11,"David Martin-Robinson",TEN,"0","0","0","0","0","0","0","0"
"158",11,"Zach Gentry",FA,"0","0","0","0","0","0","0","0"
"159",11,"Blake Bell",FA,"9.1","9","5","26","1","0","0","0"
"160",11,"Tyree Jackson",FA,"0","0","0","0","0","0","0","0"
"161",11,"Logan Parker",FA,"0","0","0","0","0","0","0","0"
"162",11,"John FitzPatrick",ATL,"1.7","1","1","12","0","0","0","0"
"163",11,"Tommy Sweeney",FA,"0","0","0","0","0","0","0","0"
"164",11,"C.J. Uzomah",FA,"15.8","12","8","58","1","0","0","0"
"165",11,"Jacob Harris",FA,"0","0","0","0","0","0","0","0"
"166",11,"Trey Knox",MIN,"0","0","0","0","0","0","0","0"
"167",11,"Kevin Rader",NO,"1.1","3","1","6","0","0","0","0"
"168",11,"Jesse James",FA,"0","0","0","0","0","0","0","0"
"169",11,"Giovanni Ricci",FA,"0.7","1","1","2","0","0","0","0"
"170",11,"Armani Rogers",FA,"0","0","0","0","0","0","0","0"
"171",11,"David Wells",FA,"0","2","2","-10","0","0","0","0"
